Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Date,State,TotalSamples,Negative,Positive
75,09-03-2020,6:00 PM,Karnataka,1,0,0,0,1,31-03-2021,India,63935590,7622285,48959,55188803,8746787,,,,5979191,57956398,,16261,,,,9451326,16264001,29454352,29151242,26031409,6152,27-07-2020,Andaman and Nicobar Islands,22548,,338
76,09-03-2020,6:00 PM,Kerala,9,0,3,0,9,01-04-2021,India,66361722,8582019,56390,57443466,8918256,,,,6164245,60197476,,16355,,,,9557988,17615494,30250716,30321468,27115615,6383,28-07-2020,Andaman and Nicobar Islands,22925,,363
77,09-03-2020,6:00 PM,Maharashtra,2,0,0,0,2,02-04-2021,India,70090836,7771995,50714,60936753,9154083,,,,6415647,63675188,,16677,,,,9722696,19839695,31354874,32126426,28803529,6798,29-07-2020,Andaman and Nicobar Islands,23217,,428
78,09-03-2020,6:00 PM,Punjab,1,0,0,0,1,03-04-2021,India,73112119,8028771,53749,63743700,9368419,,,,6619593,66492525,,16891,,,,9872239,21613929,32237904,33577406,30159173,7121,30-07-2020,Andaman and Nicobar Islands,23615,,471
79,09-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,04-04-2021,India,76405697,6779834,43542,66838504,9567193,,,,6880699,69524997,,17036,,,,9981005,23681718,33156019,35165269,31665721,7514,31-07-2020,Andaman and Nicobar Islands,24038,,548
80,09-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,05-04-2021,India,79439889,9947093,64960,69620234,9819655,,,,7162657,72277231,,17130,,,,9988573,25457649,34154208,36559511,33052869,7854,01-08-2020,Andaman and Nicobar Islands,24308,,636
81,09-03-2020,6:00 PM,Telengana,1,0,0,0,1,06-04-2021,India,82065337,9341151,61096,72035640,10029697,,,,7419434,74645902,,17216,,,,9994341,27028827,34992622,37772299,34255180,8161,02-08-2020,Andaman and Nicobar Islands,24580,,734
82,09-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,07-04-2021,India,87100627,8870978,58826,76671812,10428815,,,,7832533,79268093,,17424,,,,10005564,30065901,36580444,40110598,36552499,8715,03-08-2020,Andaman and Nicobar Islands,25034,,830
83,09-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,08-04-2021,India,91881530,9913258,65506,80998099,10883431,,,,8167587,83713942,,17628,,,,10017087,32914036,38047027,42273620,38715200,9279,04-08-2020,Andaman and Nicobar Islands,25492,,928
84,09-03-2020,6:00 PM,Haryana,0,2,0,0,2,09-04-2021,India,95583419,9969009,65714,84296847,11286572,,,,8425992,87157426,,17815,,,,10050594,35088992,39137263,43929844,40357259,9744,05-08-2020,Andaman and Nicobar Islands,25826,,1027
